Generation,Zeit,Spieldauer,Stapel,Flach,Diagonal,Unentschieden,Hoechste Fitness
231,14.37,10.6,4861,61,28,0,93
232,14.43,10.2,4886,53,11,0,93
233,14.99,10.8,4879,53,18,0,89
234,16.84,12.3,4857,83,10,0,82
235,19.08,14.0,4781,117,52,0,90
236,18.94,13.9,4734,146,70,0,83
237,17.92,13.2,4740,169,41,0,89
238,18.91,13.9,4841,49,60,0,94
239,18.94,14.1,4787,122,41,0,93
240,20.56,15.3,4800,100,50,0,90
241,20.21,14.8,4824,85,41,0,89
242,20.04,14.8,4767,98,85,0,86
243,19.49,14.6,4844,70,36,0,81
244,19.65,14.7,4875,56,19,0,79
245,19.49,14.2,4876,52,22,0,85
246,19.13,14.2,4838,52,60,0,87
247,18.14,13.2,4870,55,25,0,76
248,16.93,12.4,4873,55,22,0,80
249,17.85,12.7,4841,54,55,0,81
250,16.66,11.9,4856,38,56,0,80
251,17.75,12.6,4813,53,84,0,88
252,16.61,12.1,4793,81,76,0,91
253,15.37,11.0,4869,54,27,0,96
254,14.6,10.4,4891,17,42,0,93
255,14.64,10.3,4867,43,40,0,98
256,14.85,10.5,4848,62,40,0,96
257,13.88,10.0,4916,25,8,1,99
258,14.82,10.5,4913,16,21,0,98
259,14.76,10.7,4892,36,22,0,99
260,14.02,10.1,4932,13,5,0,99
261,14.56,10.5,4916,21,13,0,98
262,14.39,10.5,4928,20,2,0,96
263,15.05,11.2,4908,35,7,0,94
264,15.19,10.9,4931,17,2,0,99
265,16.2,11.6,4898,42,10,0,98
266,16.44,12.2,4933,7,10,0,97
267,17.01,12.3,4926,14,10,0,99
268,16.43,11.8,4940,7,3,0,97
269,14.49,10.5,4902,34,14,0,97
270,14.24,10.0,4856,48,46,0,94
271,14.6,10.3,4815,46,89,0,98
272,14.58,10.6,4820,50,80,0,93
273,16.63,11.9,4748,94,108,0,97
274,15.9,11.6,4816,75,59,0,95
275,15.0,10.8,4878,62,10,0,89
276,15.24,10.9,4882,38,30,0,85
277,14.68,10.6,4910,24,16,0,90
278,14.82,10.6,4899,27,24,0,75
279,14.34,10.3,4877,39,34,0,88
280,15.08,11.0,4888,32,30,0,89
281,15.14,10.9,4869,58,23,0,87
282,15.01,10.6,4856,54,40,0,91
283,14.16,10.0,4844,104,2,0,96
284,15.3,10.5,4854,87,9,0,93
285,15.4,11.7,4909,36,5,0,91
286,13.22,13.2,4830,95,25,0,95
287,15.5,15.1,4801,136,13,0,97
288,18.51,14.4,4787,103,60,0,93
289,18.1,14.3,4856,33,61,0,93
290,15.46,14.4,4730,146,74,0,97
291,12.45,14.1,4773,112,65,0,88
292,13.46,14.7,4717,127,106,0,87
293,13.09,14.7,4787,65,98,0,91
294,13.51,15.1,4759,94,97,0,93
295,14.28,15.9,4602,99,249,0,94
296,14.7,16.1,4558,114,278,0,93
297,12.4,14.0,4705,162,83,0,99
298,13.81,13.9,4763,141,46,0,90
299,13.62,14.0,4723,144,83,0,98
300,12.76,13.5,4850,58,42,0,99
301,11.24,11.4,4803,101,46,0,99
302,8.58,8.8,4904,39,7,0,99
303,7.91,8.0,4923,9,18,0,99
304,7.91,8.0,4932,8,10,0,98
305,7.53,7.6,4938,5,7,0,99
306,7.14,7.4,4937,9,4,0,99
307,8.02,7.9,4928,15,7,0,98
308,7.87,7.9,4901,23,26,0,97
309,8.13,8.3,4903,13,33,1,94
310,8.62,8.6,4887,16,46,1,97
311,10.25,11.0,4716,103,131,0,97
312,13.52,14.0,4439,114,396,1,95
313,13.34,14.5,4644,104,202,0,94
314,14.48,15.5,4435,172,343,0,90
315,13.14,14.2,4623,149,172,6,89
316,12.99,14.1,4646,141,161,2,98
317,13.87,14.7,4623,127,198,2,93
318,14.41,15.4,4504,161,284,1,91
319,13.72,14.8,4517,168,265,0,91
320,14.43,15.4,4513,220,217,0,84
321,14.79,16.1,4497,241,212,0,84
322,15.58,17.0,4219,438,293,0,82
323,16.8,18.2,4104,586,260,0,79
324,16.58,17.8,4167,599,183,1,78
325,17.07,18.7,3969,677,296,8,83
326,18.03,19.5,4151,516,281,2,91
327,17.3,18.7,4299,364,284,3,88
328,16.11,17.7,4280,310,360,0,85
329,15.26,16.9,4363,295,292,0,90
330,15.53,16.8,4444,228,276,2,82
331,16.01,17.4,4463,198,289,0,91
332,19.25,21.0,4247,349,353,1,92
333,19.24,21.3,4261,322,365,2,93
334,18.37,20.3,4374,328,248,0,88
335,18.33,20.1,4403,222,323,2,91
336,18.37,20.2,4506,269,174,1,82
337,18.01,19.6,4500,258,192,0,79
338,16.84,17.9,4671,139,140,0,80
339,14.97,16.3,4741,111,98,0,85
340,14.99,16.6,4702,133,113,2,76
341,15.24,16.7,4732,134,84,0,92
342,14.56,15.7,4789,57,104,0,94
343,13.02,13.7,4756,79,115,0,89
344,10.84,11.4,4830,46,74,0,91
345,9.96,10.4,4879,33,38,0,94
346,10.88,11.5,4837,93,20,0,85
347,11.72,12.5,4767,120,63,0,90
348,13.1,13.4,4764,120,64,2,92
349,12.22,13.1,4827,69,53,1,89
350,12.32,13.4,4786,118,46,0,88
351,12.63,13.6,4749,156,45,0,89
352,13.21,14.1,4743,110,97,0,89
353,12.73,13.6,4762,109,79,0,87
354,14.27,15.3,4575,240,135,0,78
355,13.47,14.8,4627,134,189,0,80
356,14.34,15.3,4558,130,262,0,88
357,15.03,16.0,4617,176,149,8,81
358,16.01,17.5,4466,236,248,0,87
359,15.25,16.3,4565,156,229,0,83
360,14.96,16.2,4513,228,209,0,79
361,14.3,15.7,4547,203,200,0,97
362,13.03,13.8,4615,147,188,0,95
363,12.66,13.5,4666,202,82,0,96
364,13.45,14.3,4610,188,152,0,93
365,13.32,14.3,4697,174,79,0,97
366,15.02,14.7,4696,164,90,0,98
367,14.25,14.8,4599,220,131,0,98
368,14.8,15.0,4698,79,173,0,98
369,15.31,16.1,4557,103,290,0,97
370,16.02,16.5,4630,104,216,0,97
371,16.72,17.1,4400,207,343,0,98
372,17.78,16.2,4475,139,336,0,96
373,15.93,16.4,4545,183,222,0,95
374,18.61,17.5,4267,400,283,0,91
375,22.85,18.3,4030,515,405,0,93
376,26.3,20.6,3734,701,515,0,97
377,25.63,20.6,3832,652,466,0,92
378,24.92,19.6,3819,672,459,0,93
379,24.63,19.0,3984,748,218,0,86
380,23.17,18.5,3735,914,299,2,91
381,23.0,18.5,3890,784,273,3,86
382,24.03,19.1,3714,995,241,0,83
383,24.8,19.5,3622,987,341,0,78
384,24.89,19.6,3839,825,285,1,88
385,25.35,19.6,3950,714,281,5,89
386,25.29,20.0,3849,843,235,23,94
387,26.08,20.0,3775,879,296,0,86
388,25.52,19.6,3641,904,405,0,94
389,25.04,19.3,3564,715,669,2,98
390,23.51,18.5,3705,903,342,0,97
391,23.75,18.0,3738,960,251,1,87
392,21.84,16.8,4019,756,175,0,91
393,21.41,16.6,4207,455,288,0,92
394,20.42,15.8,4357,443,150,0,95
395,20.39,16.1,4404,438,107,1,97
396,20.49,15.6,4431,407,112,0,96
397,20.32,15.9,4502,343,105,0,93
398,20.47,16.0,4431,311,208,0,89
399,19.68,15.2,4447,327,175,1,82
400,19.24,14.8,4507,250,193,0,81
401,17.48,13.6,4665,164,121,0,85
402,19.48,15.1,4527,261,158,4,90
403,20.41,16.3,4389,272,289,0,79
404,22.82,17.1,4222,426,302,0,83
405,23.35,17.5,4065,492,393,0,90
406,21.16,16.5,4369,340,241,0,87
407,20.11,15.9,4478,255,215,2,89
408,20.45,15.9,4596,240,114,0,84
409,21.06,16.6,4517,167,266,0,85
410,20.67,16.2,4706,100,144,0,88
411,20.72,15.9,4548,242,160,0,97
412,20.73,15.6,4638,161,151,0,96
413,18.56,13.8,4589,192,169,0,91
414,16.18,12.5,4739,60,151,0,93
415,16.14,11.9,4750,41,157,2,89
416,15.21,11.6,4823,57,69,1,97
417,15.97,12.3,4802,29,119,0,96
418,16.65,12.6,4787,74,89,0,82
419,17.18,12.9,4752,31,167,0,90
420,17.0,13.0,4755,106,89,0,91
421,18.42,13.6,4752,89,109,0,95
422,19.91,15.2,4733,114,103,0,94
423,19.94,15.7,4566,224,160,0,85
424,21.86,16.6,4515,275,160,0,82
425,22.49,17.6,4573,232,145,0,88
426,20.73,16.4,4768,111,71,0,94
427,21.83,17.5,4765,92,93,0,96
428,22.59,17.8,4870,39,41,0,98
429,21.73,17.7,4854,40,56,0,98
430,22.61,17.9,4879,13,58,0,99
431,23.13,17.5,4887,5,58,0,99
432,23.27,18.5,4829,49,72,0,98
433,22.62,18.0,4773,68,109,0,96
434,22.02,18.0,4704,90,156,0,95
435,22.24,17.8,4799,63,88,0,97
436,22.87,17.8,4761,133,56,0,92
437,22.1,17.1,4711,166,73,0,94
438,23.62,18.2,4604,239,107,0,95
439,17.36,17.8,4548,317,85,0,92
440,15.26,17.3,4527,351,72,0,95
441,15.15,17.4,4439,423,88,0,94
442,15.7,17.5,4281,591,78,0,97
443,15.61,17.5,4290,603,57,0,92
444,14.75,17.1,4269,593,88,0,93
445,14.53,16.5,4344,541,65,0,92
446,14.48,16.0,4575,295,79,1,86
447,14.49,16.1,4536,338,76,0,97
448,15.87,16.1,4519,294,137,0,94
449,15.2,15.8,4568,296,86,0,93
450,14.75,15.9,4545,273,132,0,94
451,14.76,15.6,4544,294,112,0,88
452,14.66,15.5,4573,297,80,0,86
453,13.52,15.2,4617,284,48,1,87
454,13.57,15.2,4672,209,63,6,82
455,13.85,15.7,4483,348,118,1,82
456,14.32,15.9,4515,303,130,2,82
457,16.81,16.5,4517,260,173,0,92
458,16.71,16.9,4546,265,137,2,84
459,15.68,17.0,4464,235,245,6,88
460,15.41,16.2,4606,206,138,0,87
461,15.22,16.1,4492,256,202,0,95
462,14.25,14.4,4663,197,90,0,94
463,11.78,12.7,4863,47,40,0,91
464,10.46,11.4,4907,13,30,0,93
465,9.56,10.7,4920,27,3,0,95
466,10.12,10.3,4939,5,6,0,96
467,10.66,10.4,4934,9,7,0,94
468,10.33,10.6,4899,27,24,0,86
469,14.98,12.2,4821,62,65,2,87
470,17.18,12.3,4876,69,5,0,96
471,20.23,15.0,4736,133,80,1,96
472,22.02,16.9,4636,160,152,2,95
473,21.26,16.6,4701,130,116,3,91
474,21.83,16.8,4610,190,146,4,92
475,21.81,17.2,4538,286,123,3,92
476,24.85,19.4,3950,451,546,3,85
477,25.93,20.6,3440,517,991,2,83
478,25.71,20.1,3440,549,958,3,85
479,27.66,22.5,2767,893,1283,7,90
480,32.25,24.6,2680,985,1269,16,96
481,31.5,24.3,2737,925,1282,6,94
482,28.06,22.3,3117,909,916,8,95
483,23.39,18.4,3691,568,691,0,95
484,24.52,18.7,3816,612,522,0,94
485,24.29,18.2,4108,498,344,0,89
486,20.88,17.0,4530,293,127,0,90
487,22.75,18.2,4519,277,153,1,89
488,22.61,18.7,4393,265,291,1,87
489,24.15,19.6,4261,188,485,16,87
490,25.86,20.7,3820,247,877,6,94
491,26.27,21.0,3585,276,1076,13,85
492,24.83,19.6,3876,264,803,7,91
493,25.25,20.1,3864,264,811,11,89
494,22.55,18.0,4212,328,407,3,95
495,23.47,18.0,4396,282,264,8,92
496,21.81,16.9,4568,151,225,6,93
497,20.62,15.8,4834,70,43,3,94
498,20.01,16.2,4776,88,81,5,92
499,20.86,16.8,4746,108,93,3,91
500,23.11,18.2,4627,139,180,4,91
501,23.85,18.6,4743,86,114,7,90
502,24.45,19.4,4625,140,167,18,90
503,24.11,20.1,4645,122,176,7,93
504,24.53,20.6,4540,202,202,6,83
505,25.22,20.8,4571,158,217,4,86
506,25.76,21.9,4404,251,271,24,95
507,25.24,20.8,4416,272,244,18,93
508,24.28,19.9,4459,231,258,2,96
509,23.27,19.9,4505,231,209,5,93
510,23.47,19.6,4470,262,213,5,91
511,24.2,20.1,4313,348,285,4,86
512,23.97,19.7,4354,326,263,7,89
513,22.35,18.6,4544,216,189,1,94
514,20.09,16.9,4639,165,145,1,98
515,19.8,16.2,4722,134,94,0,94
516,17.87,14.9,4773,86,91,0,95
517,17.99,14.4,4761,123,62,4,95
518,18.19,14.7,4827,67,54,2,97
519,18.18,15.1,4751,89,108,2,86
520,18.89,15.6,4810,81,59,0,93
521,19.67,15.1,4777,57,116,0,94
522,21.18,16.4,4757,61,129,3,92
523,21.48,17.1,4741,59,149,1,87
524,20.07,16.7,4738,69,143,0,91
525,19.06,15.5,4775,68,107,0,94
526,18.19,14.8,4815,52,83,0,91
527,18.15,14.7,4885,50,15,0,96
528,16.58,13.3,4859,58,33,0,97
529,15.26,12.4,4898,30,22,0,92
530,16.68,14.5,4869,43,38,0,94
531,17.33,14.7,4858,31,61,0,96
532,17.19,14.7,4846,49,55,0,92
533,18.43,15.7,4863,32,55,0,96
534,17.99,16.3,4902,20,28,0,85
535,21.14,18.4,4844,37,69,0,98
536,21.57,18.1,4845,52,51,2,97
537,23.06,19.4,4746,27,172,5,99
538,20.79,18.0,4646,52,251,1,99
539,19.46,17.0,4583,111,255,1,95
540,19.33,16.0,4754,47,149,0,98
541,21.0,17.2,4572,50,323,5,98
542,18.71,15.2,4751,33,166,0,99
543,18.99,14.9,4679,135,135,1,99
544,18.11,15.2,4759,34,156,1,99
545,18.82,15.5,4680,92,175,3,99
546,17.63,14.2,4771,57,122,0,99
547,15.41,12.7,4842,33,75,0,99
548,14.36,11.3,4893,5,52,0,99
549,14.69,11.2,4902,12,36,0,99
550,13.81,11.1,4883,8,59,0,98
551,14.02,11.4,4878,22,50,0,97
552,14.1,11.1,4916,27,7,0,99
553,13.94,11.0,4941,2,7,0,99
554,13.48,10.6,4937,8,5,0,99
555,13.78,11.5,4922,18,10,0,98
556,14.34,11.9,4886,50,14,0,97
557,14.76,12.4,4813,73,64,0,96
558,13.22,11.2,4903,35,12,0,99
559,14.03,10.9,4930,15,5,0,97
560,13.84,11.4,4932,14,4,0,94
561,14.1,11.8,4912,28,10,0,96
562,14.46,12.1,4800,47,103,0,97
563,15.94,13.0,4668,190,92,0,96
564,15.2,12.6,4833,95,22,0,95
565,13.86,11.6,4920,14,16,0,91
566,14.59,12.2,4855,43,52,0,88
567,15.91,12.6,4902,24,24,0,93
568,17.87,14.7,4741,50,159,0,89
569,19.73,16.5,4642,89,219,0,89
570,20.44,15.9,4709,75,166,0,88
571,19.38,15.6,4732,60,158,0,98
572,14.33,15.9,4708,105,132,5,91
573,13.75,15.4,4689,134,127,0,94
574,13.24,15.0,4759,113,68,10,94
575,12.65,14.4,4800,87,62,1,90
576,15.59,14.5,4805,85,60,0,94
577,19.63,15.0,4738,151,61,0,90
578,19.1,14.3,4746,171,33,0,92
579,17.47,14.0,4667,218,65,0,95
580,17.78,14.7,4641,254,55,0,93
581,21.38,17.1,4245,559,145,1,85
582,23.41,19.0,3564,1206,179,1,94
583,23.35,19.3,3670,1113,166,1,91
584,25.27,19.6,3751,940,248,11,86
585,23.29,19.0,3939,778,222,11,89
586,24.59,19.3,3931,809,201,9,90
587,23.37,19.3,4114,612,217,7,86
588,24.8,19.9,3952,773,223,2,83
589,23.87,19.5,4096,525,329,0,92
590,22.89,18.8,4287,395,263,5,88
591,22.56,18.3,4443,284,222,1,90
592,23.43,19.1,4520,236,191,3,80
593,23.05,18.8,4386,357,202,5,86
594,23.75,19.2,4447,266,231,6,81
595,24.51,19.7,4435,287,227,1,81
596,24.72,19.9,4310,348,283,9,79
597,24.05,19.4,4295,353,294,8,90
598,26.19,21.3,4309,370,245,26,80
599,27.47,21.9,4042,582,320,6,80
600,24.87,20.3,4286,405,251,8,86
601,25.51,20.2,4133,481,328,8,81
602,28.14,21.2,4171,384,375,20,84
603,29.0,21.4,4254,281,411,4,85
604,28.24,21.7,4227,342,381,0,92
605,26.6,21.1,4280,426,243,1,86
606,26.26,21.3,4334,396,218,2,87
607,25.36,20.0,4471,350,129,0,80
608,25.06,19.6,4484,344,121,1,82
609,23.93,18.8,4498,331,120,1,83
610,23.29,18.8,4560,318,71,1,82
611,23.11,18.4,4487,372,91,0,91
