Generation,Zeit,Spieldauer,Stapel,Flach,Diagonal,Unentschieden,Hoechste Fitness
0,18.6,10.1,9807,71,21,1,150
1,17.08,9.0,9852,33,15,0,136
2,18.1,9.1,9821,60,19,0,133
3,17.85,9.1,9791,80,29,0,128
4,18.51,9.4,9769,103,28,0,127
5,17.71,9.5,9772,85,42,1,132
6,18.18,9.6,9729,105,66,0,130
7,26.38,10.3,9725,98,76,1,131
8,27.66,10.8,9683,150,66,1,132
9,25.59,10.5,9722,113,65,0,139
10,24.13,10.0,9717,126,57,0,136
11,29.67,12.3,9669,121,108,2,138
12,34.04,12.8,9680,151,68,1,175
13,35.45,12.8,9646,170,82,2,161
14,27.21,11.1,9798,62,39,1,156
15,26.4,10.3,9807,64,29,0,153
16,25.72,10.1,9741,133,26,0,144
17,26.09,10.4,9749,121,30,0,145
18,28.51,10.8,9695,158,47,0,155
19,30.41,11.7,9643,183,73,1,150
20,27.47,10.7,9717,134,49,0,149
21,30.59,12.0,9595,228,76,1,144
22,28.06,11.2,9662,187,51,0,135
23,26.59,10.4,9712,140,44,4,137
24,27.61,11.0,9712,142,46,0,147
25,33.69,13.3,9493,308,96,3,148
26,33.87,13.7,9539,276,83,2,144
27,38.24,15.1,9445,361,92,2,142
28,42.54,16.9,9201,554,145,0,137
29,41.32,16.3,9181,544,174,1,155
30,41.72,16.2,9158,566,175,1,140
31,41.09,16.2,9119,614,166,1,162
32,41.56,16.2,9099,616,183,2,196
33,38.38,15.4,9347,395,157,1,195
34,36.42,14.3,9536,213,147,4,189
35,30.9,12.1,9716,112,72,0,172
36,28.57,11.0,9777,78,43,2,149
37,25.59,10.0,9829,48,22,1,145
38,24.74,9.6,9796,74,30,0,130
39,27.2,10.5,9801,74,25,0,135
40,26.18,10.3,9797,65,38,0,135
41,26.41,10.5,9802,68,29,1,131
42,26.84,10.4,9809,54,35,2,134
43,26.42,10.3,9764,89,47,0,150
44,26.43,10.4,9719,94,84,3,137
45,28.15,11.0,9664,104,132,0,139
46,27.77,10.7,9721,95,84,0,139
47,27.08,10.6,9764,63,70,3,138
48,27.59,10.8,9743,89,67,1,138
49,35.53,13.9,9527,268,103,2,138
50,34.03,13.2,9514,272,114,0,131
51,29.78,11.3,9668,170,62,0,132
52,29.76,11.6,9614,115,170,1,138
53,33.21,13.0,9520,140,238,2,136
54,33.94,13.2,9481,146,267,6,137
55,34.33,13.3,9468,175,253,4,143
56,28.12,12.4,9540,198,160,2,140
57,37.44,14.1,9413,226,259,2,145
58,41.95,16.0,9349,263,288,0,139
59,40.41,15.7,9520,181,192,7,140
60,38.5,14.9,9514,183,201,2,143
61,41.94,16.0,9463,223,209,5,135
62,45.51,17.8,9370,286,232,12,140
63,45.05,17.6,9428,311,155,6,167
64,43.55,17.7,9443,258,197,2,165
65,43.38,17.0,9414,272,207,7,169
66,41.62,16.8,9301,295,303,1,163
67,41.29,16.7,9429,263,198,10,158
68,43.71,17.2,9480,312,106,2,150
69,44.92,18.0,9443,328,123,6,156
70,44.7,17.4,9465,274,157,4,156
71,42.92,16.6,9577,179,139,5,165
72,39.76,15.2,9648,170,82,0,167
73,35.11,13.7,9737,80,83,0,153
74,35.21,13.5,9590,134,175,1,143
75,35.76,13.4,9450,217,233,0,141
76,35.11,13.4,9422,251,227,0,154
77,38.45,14.3,9209,394,295,2,151
78,38.66,14.5,9134,455,311,0,155
79,43.62,16.4,8862,560,474,4,155
80,39.11,14.5,9367,238,290,5,150
81,36.91,14.1,9543,230,126,1,143
82,38.71,14.7,9389,339,172,0,148
83,38.18,14.6,9439,250,210,1,169
84,39.5,15.1,9337,233,329,1,166
85,39.5,14.9,9207,376,316,1,150
86,37.02,14.4,9235,304,359,2,140
87,37.31,14.9,9249,302,348,1,131
88,38.6,15.4,8986,438,473,3,133
89,39.27,15.7,8754,382,761,3,147
90,38.79,15.0,9229,328,342,1,136
91,38.75,14.9,9473,223,204,0,142
92,36.0,13.8,9697,77,125,1,158
93,35.24,13.3,9743,79,77,1,162
94,36.47,13.8,9636,125,138,1,152
95,35.47,13.4,9656,136,105,3,158
96,31.33,11.9,9800,53,45,2,154
97,30.01,11.3,9837,36,24,3,170
98,29.99,11.2,9824,36,38,2,155
99,31.08,11.8,9875,16,9,0,156
100,33.52,12.6,9829,36,32,3,154
101,33.11,12.4,9788,71,39,2,153
102,35.14,13.2,9726,104,59,11,138
103,33.47,12.7,9790,72,35,3,134
104,31.04,12.0,9887,6,7,0,144
105,29.98,11.5,9883,5,12,0,132
106,27.82,10.5,9892,2,6,0,128
107,27.73,10.4,9887,2,11,0,134
108,31.59,12.0,9888,2,10,0,171
109,32.65,12.3,9889,3,8,0,175
110,33.04,12.8,9887,1,12,0,179
111,33.33,12.8,9880,11,9,0,176
112,34.18,13.1,9856,34,10,0,156
113,34.59,13.2,9876,19,5,0,145
114,34.84,13.2,9864,30,5,1,146
115,35.32,13.3,9840,40,19,1,145
116,35.62,13.5,9815,65,20,0,135
117,37.57,14.1,9769,87,42,2,156
118,37.27,14.0,9805,50,44,1,147
119,34.23,12.9,9818,38,44,0,154
120,33.97,12.9,9814,50,36,0,153
121,33.31,12.5,9813,54,33,0,145
122,29.44,11.2,9854,44,2,0,168
123,32.04,12.1,9830,56,14,0,168
124,36.72,13.9,9807,61,31,1,180
125,35.94,13.7,9799,62,37,2,169
126,31.78,12.0,9861,18,21,0,168
127,28.76,10.8,9850,45,5,0,168
128,28.97,10.8,9773,115,12,0,164
129,35.29,13.1,9655,230,15,0,180
130,33.12,12.7,9774,117,9,0,174
131,31.98,12.2,9843,47,10,0,176
132,34.86,13.0,9816,60,24,0,170
133,34.09,12.8,9834,43,23,0,158
134,30.51,13.4,9824,65,11,0,159
135,30.1,13.5,9833,54,13,0,173
136,30.68,12.9,9851,34,15,0,163
137,25.05,14.1,9767,126,7,0,144
138,24.15,13.9,9790,95,15,0,149
139,23.61,13.8,9833,64,3,0,140
140,24.26,13.9,9846,52,2,0,149
141,25.71,13.9,9875,24,1,0,183
142,25.39,13.8,9896,2,2,0,184
143,25.68,14.1,9897,1,2,0,178
144,24.84,13.8,9878,2,20,0,166
145,23.9,13.2,9890,6,4,0,157
146,22.71,12.4,9878,19,3,0,168
147,21.79,11.9,9895,4,1,0,163
148,21.84,12.1,9874,23,3,0,156
149,21.66,12.2,9874,23,3,0,173
150,23.24,12.7,9881,16,3,0,167
151,22.79,12.7,9855,43,2,0,157
152,21.85,12.2,9862,31,7,0,160
153,24.19,13.3,9850,35,15,0,164
154,22.85,12.6,9823,73,4,0,154
155,22.59,12.4,9837,55,8,0,147
156,23.88,13.2,9763,118,19,0,148
157,23.12,12.9,9836,59,5,0,139
158,22.84,12.8,9804,94,2,0,139
159,24.98,13.8,9797,95,8,0,155
160,24.16,13.5,9696,198,6,0,165
161,23.41,13.1,9644,241,15,0,147
162,24.06,13.4,9817,72,11,0,152
163,23.46,13.1,9886,13,1,0,185
164,24.33,13.4,9802,84,14,0,180
165,22.85,12.7,9798,97,5,0,178
166,22.15,12.3,9735,160,5,0,170
167,21.38,11.8,9840,43,17,0,175
168,21.22,11.6,9819,80,1,0,170
169,20.67,11.2,9848,51,1,0,160
170,21.54,11.6,9763,134,3,0,170
171,21.99,12.1,9697,194,9,0,176
172,24.02,13.2,9640,241,19,0,160
173,24.88,13.9,9691,174,35,0,170
174,23.47,13.0,9736,109,55,0,157
175,22.19,12.0,9746,111,43,0,176
176,20.5,11.3,9846,22,32,0,192
177,22.84,12.6,9722,81,97,0,184
178,24.28,13.6,9638,141,121,0,171
179,26.75,14.9,9603,182,115,0,156
180,25.2,14.0,9799,89,12,0,174
181,27.09,14.0,9773,119,8,0,170
182,25.56,13.8,9702,190,8,0,164
183,25.08,13.4,9589,297,14,0,164
184,27.38,13.7,9546,348,6,0,157
185,24.83,13.1,9573,326,1,0,157
186,31.91,13.7,9401,491,8,0,159
187,33.2,13.3,9271,616,12,1,168
188,35.3,13.9,9028,858,14,0,172
189,33.7,13.8,9124,766,10,0,156
190,31.92,13.1,9254,626,20,0,149
191,32.51,13.3,9479,402,19,0,147
192,31.52,13.0,9492,393,15,0,160
193,31.02,13.0,9449,445,6,0,149
194,32.0,13.1,9262,628,10,0,174
195,33.95,14.0,8911,974,15,0,159
196,35.02,14.7,9177,607,116,0,144
197,34.13,14.3,9111,625,164,0,163
198,32.09,13.0,9527,329,44,0,163
199,32.94,13.1,9524,339,37,0,156
200,31.95,12.8,9575,314,11,0,173
201,32.94,13.5,9634,250,16,0,173
202,32.5,13.0,9596,297,7,0,161
203,32.56,13.0,9487,405,8,0,158
204,33.6,13.2,9837,58,5,0,161
205,33.17,13.4,9766,100,34,0,171
206,30.6,12.1,9816,77,7,0,152
207,29.22,11.1,9815,78,7,0,162
208,27.05,10.8,9791,103,6,0,166
209,27.2,11.1,9671,196,33,0,168
210,31.68,12.4,9337,511,52,0,158
211,29.85,12.5,9317,551,32,0,164
212,32.21,12.6,9510,366,23,1,153
213,32.8,13.3,9321,554,25,0,147
214,31.91,13.1,9298,572,30,0,139
215,30.07,12.2,9667,201,32,0,156
216,32.85,13.6,9213,610,77,0,148
217,33.72,13.7,9035,753,112,0,147
218,34.81,14.2,9041,725,134,0,156
219,35.51,14.2,9062,694,144,0,148
220,33.34,13.2,9259,615,26,0,142
221,31.67,12.8,9518,369,13,0,132
222,32.6,13.1,9312,504,84,0,150
223,39.01,15.1,9054,638,208,0,174
224,37.76,14.7,9140,631,129,0,164
225,33.4,13.3,9457,435,8,0,149
226,31.71,12.4,9450,443,7,0,152
227,28.68,11.1,9743,154,3,0,143
228,27.95,10.7,9735,165,0,0,159
229,20.31,10.6,9776,123,1,0,173
230,19.26,11.2,9840,60,0,0,161
231,19.96,11.5,9638,261,1,0,156
232,20.17,11.5,9604,291,5,0,158
233,19.6,11.4,9691,198,11,0,148
234,20.21,11.4,9767,118,15,0,153
235,20.06,11.4,9809,90,1,0,146
236,21.68,11.5,9832,67,1,0,165
237,22.08,12.0,9799,101,0,0,163
238,22.2,12.0,9675,225,0,0,173
239,21.8,12.2,9752,143,5,0,167
240,20.74,11.9,9682,201,17,0,153
241,19.8,11.4,9860,39,1,0,153
242,21.7,10.8,9882,7,11,0,159
243,19.93,10.7,9877,18,5,0,155
244,23.65,12.9,9888,9,3,0,148
245,26.12,13.8,9880,13,7,0,156
246,22.33,12.7,9883,10,7,0,150
247,20.93,11.9,9881,11,8,0,180
248,23.34,12.4,9871,21,8,0,164
249,35.26,13.8,9867,15,18,0,156
250,37.2,14.4,9837,38,25,0,157
251,37.6,14.7,9821,72,7,0,163
252,33.28,13.2,9836,64,0,0,155
253,31.46,12.4,9877,10,13,0,166
254,32.89,12.9,9850,17,33,0,160
255,33.14,13.4,9839,39,21,1,151
256,34.65,13.6,9818,52,30,0,150
257,33.4,13.1,9857,35,8,0,162
258,33.29,13.0,9845,53,2,0,159
259,33.32,13.4,9804,91,5,0,151
260,35.4,13.9,9831,66,3,0,147
261,34.14,14.0,9813,87,0,0,139
262,33.14,13.8,9819,76,5,0,139
263,33.51,13.8,9851,45,4,0,145
264,35.49,14.6,9828,49,23,0,130
265,34.07,13.9,9856,27,17,0,132
266,33.53,13.6,9857,24,19,0,149
267,33.22,13.5,9838,36,26,0,155
268,33.21,13.5,9755,119,26,0,139
269,33.84,13.7,9778,92,30,0,139
270,35.22,14.2,9697,124,79,0,137
271,33.08,13.5,9670,163,67,0,140
272,32.46,13.7,9580,262,58,0,140
273,33.18,13.6,9700,125,75,0,172
274,33.88,13.9,9481,339,80,0,163
275,32.72,13.7,9314,561,25,0,152
276,33.85,13.7,9553,339,8,0,133
277,31.59,13.0,9478,418,4,0,140
278,32.1,13.4,9877,22,1,0,179
279,34.97,14.3,9843,55,2,0,174
280,33.62,14.1,9894,6,0,0,187
281,34.57,14.2,9844,52,4,0,172
282,34.81,14.3,9838,60,2,0,156
283,35.02,14.3,9854,27,17,2,167
284,34.96,14.3,9843,13,44,0,159
285,35.18,14.1,9826,49,24,1,147
286,35.03,14.0,9875,24,1,0,161
287,34.26,14.2,9820,75,5,0,155
288,33.98,13.8,9872,22,6,0,148
289,33.65,13.7,9870,30,0,0,150
290,32.94,13.5,9857,43,0,0,132
291,33.81,13.4,9853,46,1,0,130
292,34.8,13.5,9822,78,0,0,133
293,33.42,13.7,9793,107,0,0,132
294,33.46,13.6,9839,61,0,0,134
295,33.78,13.7,9866,29,5,0,131
296,34.1,14.1,9858,42,0,0,131
297,34.28,14.1,9884,16,0,0,123
298,34.59,14.1,9888,12,0,0,120
299,33.74,13.6,9882,18,0,0,120
300,32.2,13.7,9900,0,0,0,121
301,33.65,14.2,9886,14,0,0,156
302,34.17,13.7,9900,0,0,0,148
303,30.83,13.3,9900,0,0,0,131
304,32.3,13.4,9891,9,0,0,145
305,32.68,13.5,9900,0,0,0,138
306,32.82,13.7,9900,0,0,0,194
307,33.59,13.6,9898,2,0,0,196
308,30.92,13.2,9898,2,0,0,188
309,31.41,12.8,9892,5,3,0,177
310,25.92,12.0,9892,3,5,0,176
311,19.32,11.0,9839,61,0,0,164
312,16.95,9.7,9854,46,0,0,162
313,16.01,9.0,9868,31,1,0,166
314,28.08,10.6,9855,40,5,0,166
315,26.38,10.2,9813,81,6,0,190
316,27.57,11.3,9760,139,1,0,171
317,27.41,11.2,9433,454,13,0,168
318,27.92,11.3,8884,1016,0,0,162
319,27.69,11.3,8986,914,0,0,172
320,28.33,11.4,8847,1053,0,0,166
321,28.43,11.2,9408,492,0,0,152
322,30.59,12.0,9560,340,0,0,145
323,25.54,10.5,9183,717,0,0,181
324,26.74,10.5,8789,1111,0,0,175
325,25.62,10.1,8417,1482,1,0,174
326,25.36,10.0,8842,1058,0,0,174
327,25.02,10.2,9175,725,0,0,190
328,25.03,10.0,9565,335,0,0,187
329,24.7,10.0,9188,711,1,0,183
330,26.08,10.1,9499,399,2,0,162
331,24.79,9.7,9886,11,3,0,171
332,33.62,13.5,9881,18,1,0,170
333,31.98,12.8,9869,31,0,0,159
334,32.15,12.8,9867,32,1,0,162
335,34.49,13.5,9892,8,0,0,171
336,32.78,12.0,9857,42,1,0,154
337,31.99,12.5,9893,7,0,0,158
338,26.07,10.4,9891,8,1,0,155
339,27.78,11.0,9859,33,8,0,163
340,29.38,11.9,9760,119,21,0,137
341,31.06,12.3,9793,96,11,0,145
342,29.26,12.0,9811,78,11,0,155
343,24.93,10.0,9548,320,32,0,185
344,29.62,12.2,8402,1336,162,0,174
345,31.9,12.9,7444,2351,105,0,151
346,32.27,13.1,6674,3122,104,0,175
347,32.65,13.0,6455,3411,34,0,181
348,33.29,13.2,6556,3314,30,0,186
349,34.98,14.1,6763,3093,44,0,176
350,34.12,13.6,7337,2510,53,0,163
351,32.55,13.1,8791,1105,4,0,159
352,29.42,11.8,9216,679,5,0,171
353,30.29,12.2,8976,919,5,0,186
354,31.29,12.3,8126,1763,11,0,175
355,28.56,11.6,7312,2575,13,0,159
356,27.12,10.8,5963,3920,17,0,151
357,26.07,10.4,6502,3384,14,0,145
358,23.4,9.3,5813,4073,14,0,131
359,23.13,9.2,4317,5562,21,0,132
