Generation,Zeit,Spieldauer,Stapel,Flach,Diagonal,Unentschieden,Hoechste Fitness
0,20.41,10.0,9771,96,33,0,151
1,20.48,10.5,9771,95,32,2,146
2,18.74,9.5,9783,84,32,1,142
3,17.13,9.1,9805,75,20,0,134
4,16.96,8.8,9840,45,15,0,140
5,22.8,8.7,9822,67,11,0,128
6,24.71,9.3,9805,65,30,0,132
7,22.37,9.1,9832,52,16,0,133
8,22.12,9.2,9824,49,27,0,131
9,22.81,9.4,9834,51,15,0,137
10,26.03,10.6,9748,106,46,0,153
11,28.47,10.4,9773,72,55,0,138
12,31.62,11.1,9676,135,89,0,145
13,29.17,11.4,9635,158,105,2,143
14,27.56,10.7,9725,116,59,0,142
15,29.76,11.3,9784,72,43,1,160
16,34.46,13.6,9692,147,59,2,155
17,39.37,14.7,9476,289,132,3,151
18,37.8,14.8,9404,323,169,4,151
19,36.95,13.9,9492,238,164,6,139
20,32.08,12.2,9602,196,96,6,146
21,28.33,10.8,9597,225,78,0,132
22,30.03,11.5,9517,273,107,3,154
23,31.34,11.8,9517,275,106,2,146
24,36.51,14.2,9235,445,209,11,157
25,35.88,13.9,9244,411,229,16,157
26,36.71,14.3,9295,383,212,10,144
27,37.48,14.5,9304,401,189,6,143
28,36.88,14.3,9323,379,196,2,146
29,37.6,14.7,9281,415,202,2,133
30,39.95,15.1,9140,482,269,9,142
31,40.36,15.7,9049,607,238,6,138
32,39.45,15.3,8993,641,261,5,141
33,37.94,14.6,9221,440,232,7,146
34,37.0,14.2,9437,278,180,5,144
35,38.03,14.4,9551,240,106,3,158
36,37.94,14.3,9634,189,74,3,136
37,37.38,14.7,9533,250,115,2,156
38,38.0,14.7,9516,247,132,5,143
39,37.67,14.7,9472,302,125,1,151
40,39.24,15.6,9378,356,165,1,141
41,39.63,15.2,9499,294,107,0,143
42,39.48,15.0,9478,311,109,2,148
43,36.81,14.3,9618,214,66,2,155
44,35.53,13.9,9678,148,74,0,149
45,35.73,13.9,9737,113,50,0,144
46,37.25,14.3,9718,128,54,0,151
47,36.43,14.0,9758,94,48,0,141
48,35.57,13.7,9746,98,56,0,141
49,33.16,13.5,9746,85,69,0,138
50,37.32,14.4,9572,211,117,0,156
51,33.95,12.9,9617,184,99,0,165
52,24.61,9.1,9848,40,12,0,143
53,23.3,8.5,9841,44,15,0,158
54,25.71,9.4,9865,27,8,0,179
55,27.02,10.1,9864,33,3,0,158
56,29.47,10.9,9845,41,14,0,138
57,31.39,11.8,9814,66,20,0,171
58,27.73,11.1,9814,59,27,0,163
59,31.38,12.0,9749,121,30,0,162
60,26.71,10.0,9836,38,26,0,182
61,22.9,8.8,9892,8,0,0,174
62,24.12,9.3,9876,23,1,0,153
63,25.0,9.2,9898,1,0,1,172
64,24.69,9.6,9894,1,5,0,157
65,28.52,10.7,9862,16,22,0,179
66,30.35,11.5,9740,23,137,0,176
67,37.8,14.2,9561,75,264,0,182
68,32.72,12.9,9762,55,83,0,172
69,31.04,12.0,9828,61,11,0,158
70,28.87,11.1,9881,16,3,0,157
71,29.21,11.3,9885,14,1,0,170
72,28.92,11.1,9892,8,0,0,176
73,29.28,11.1,9837,63,0,0,157
74,28.96,11.0,9878,20,2,0,157
75,31.66,11.7,9792,106,2,0,144
76,32.43,12.0,9865,27,8,0,164
77,32.11,12.0,9864,34,2,0,175
78,31.46,11.6,9879,21,0,0,178
79,29.42,11.2,9875,20,5,0,154
80,29.91,11.1,9887,11,2,0,144
81,28.12,10.5,9837,51,12,0,162
82,25.69,9.1,9894,4,2,0,180
83,24.84,9.1,9899,0,1,0,181
84,27.85,10.2,9857,41,2,0,172
85,29.66,10.9,9892,7,1,0,164
86,28.81,10.9,9895,5,0,0,159
87,28.45,10.7,9886,7,7,0,161
88,27.34,10.2,9880,7,13,0,147
89,26.9,10.0,9873,18,9,0,147
90,26.58,9.5,9860,29,11,0,145
91,23.53,8.7,9875,17,8,0,157
92,23.16,8.5,9895,4,0,1,190
93,23.57,8.9,9881,17,2,0,194
94,24.95,9.2,9898,2,0,0,184
95,24.79,9.1,9896,4,0,0,172
96,25.42,9.6,9895,4,1,0,182
97,24.66,9.1,9892,8,0,0,176
98,21.74,8.0,9899,0,1,0,142
99,21.71,7.8,9900,0,0,0,184
100,23.85,8.9,9897,2,1,0,174
101,27.29,10.2,9885,15,0,0,175
102,36.49,13.6,9830,68,1,1,155
103,36.54,13.9,9837,62,1,0,153
104,37.5,14.1,9733,159,8,0,154
105,37.17,14.2,9779,116,4,1,152
106,32.36,12.0,9852,42,6,0,160
107,23.26,8.6,9895,4,1,0,159
108,23.05,8.4,9891,7,2,0,188
109,23.13,8.6,9880,20,0,0,188
110,26.65,10.1,9806,92,1,1,191
111,25.79,9.6,9863,37,0,0,179
112,32.14,12.2,9888,9,3,0,153
113,34.78,13.0,9780,118,2,0,146
114,37.03,14.0,9716,178,6,0,148
115,36.78,14.0,9755,133,12,0,153
116,36.6,14.2,9730,156,14,0,154
117,31.92,12.1,9841,51,8,0,134
118,28.1,10.8,9704,193,3,0,190
119,31.8,12.4,9809,83,8,0,173
