Generation,Zeit,Spieldauer,Stapel,Flach,Diagonal,Unentschieden,Hoechste Fitness
0,21.33,10.3,9792,72,36,0,149
1,18.58,9.5,9827,59,14,0,144
2,19.02,9.5,9765,88,46,1,143
3,18.64,9.7,9735,103,62,0,143
4,20.37,10.5,9737,130,32,1,145
5,26.18,9.8,9812,55,33,0,128
6,25.0,9.6,9767,96,36,1,133
7,26.46,10.7,9749,105,45,1,138
8,28.07,11.4,9665,166,68,1,144
9,29.73,12.2,9556,215,129,0,154
10,32.14,11.6,9569,236,95,0,158
11,32.66,11.3,9601,211,87,1,151
12,27.7,10.9,9547,244,108,1,156
13,27.42,10.5,9497,314,89,0,137
14,28.76,10.8,9426,345,129,0,143
15,29.54,11.5,9437,376,86,1,161
16,34.79,13.0,9098,605,197,0,156
17,33.55,12.9,9343,442,115,0,148
18,35.67,13.6,9323,422,153,2,144
19,35.07,13.2,9339,358,203,0,161
20,34.81,13.4,9278,412,210,0,190
21,32.04,12.4,9444,302,153,1,178
22,31.06,11.9,9279,455,166,0,140
23,26.6,10.1,9638,153,109,0,144
24,26.96,10.1,9648,133,119,0,173
25,22.01,8.3,9823,51,26,0,167
26,23.23,8.8,9858,38,4,0,179
27,24.94,9.7,9764,120,16,0,176
28,27.07,10.2,9804,78,16,2,186
29,27.63,10.6,9759,114,27,0,185
30,27.6,10.5,9624,252,24,0,155
31,27.19,10.4,9664,204,32,0,163
32,27.59,10.5,9587,280,33,0,177
33,30.01,11.5,9462,368,67,3,153
34,30.93,11.9,9468,342,84,6,155
35,27.27,10.3,9777,104,19,0,150
36,24.12,9.2,9862,28,10,0,159
37,28.35,10.8,9733,153,14,0,175
38,31.22,11.9,9743,104,49,4,182
39,31.7,12.5,9572,205,122,1,151
40,32.11,12.0,9525,201,169,5,153
41,27.58,10.7,9652,143,101,4,168
42,26.14,9.7,9783,86,29,2,159
43,28.54,10.8,9687,161,50,2,164
44,33.79,13.0,9302,533,52,13,159
45,39.06,14.9,9205,586,104,5,179
46,39.24,15.0,9032,733,110,25,172
47,43.34,16.7,8465,1322,104,9,154
48,40.78,15.4,8529,1279,87,5,150
