Generation,Zeit,Spieldauer,Stapel,Flach,Diagonal,Unentschieden,Hoechste Fitness,Durchschnittliche Fitness
0,10.55,10.8,9653,149,91,7,2414.5,1169.59
1,9.15,9.8,9642,167,83,8,2299.5,1002.48
2,14.22,10.5,9557,213,113,17,2240.5,1090.39
3,17.1,12.0,9247,419,202,32,2598.5,1306.69
4,18.4,13.5,9099,530,245,26,3396.5,1545.125
5,20.16,15.5,8825,627,394,54,3232.5,1806.98
6,21.51,15.9,8617,810,404,69,3399.5,1860.22
7,21.89,16.2,8355,868,607,70,3467.5,1902.31
8,21.6,16.5,8328,910,573,89,2939.0,1919.5
9,19.87,14.8,8593,820,415,72,3156.5,1685.955
10,18.11,13.8,9060,538,255,47,2975.0,1559.995
11,19.09,14.2,9013,579,247,61,3014.0,1604.8
12,20.06,14.9,8573,877,379,71,3256.0,1700.405
13,25.1,19.1,7009,1843,854,194,3910.5,2180.055
14,23.85,17.8,6818,2064,840,178,4054.0,2002.85
15,21.8,16.0,8025,1176,588,111,3974.0,1818.79
16,22.11,16.2,8113,1170,550,67,3453.0,1910.92
17,21.29,15.7,8087,1102,638,73,3681.5,1820.38
18,20.05,14.9,8612,886,355,47,3479.5,1740.175
19,20.11,14.9,8542,983,265,110,3570.0,1667.52
20,17.51,13.0,9049,649,157,45,3144.5,1450.295
21,17.98,13.1,9093,564,169,74,3350.0,1442.785
22,16.65,12.4,9201,506,170,23,3084.5,1380.335
23,17.19,13.1,8675,827,340,58,3110.5,1427.425
24,25.25,18.5,6740,2300,670,190,4223.0,2078.245
25,33.16,24.6,3285,4952,1091,572,4418.5,2537.935
26,30.87,22.4,4644,4035,856,365,3698.5,2454.53
27,26.7,19.5,6605,2317,702,276,3597.5,2134.245
28,27.25,20.2,6254,2793,677,176,4158.5,2356.34
29,28.04,20.7,6368,2591,677,264,3646.5,2323.965
30,25.66,19.1,7067,2035,610,188,3763.5,2182.72
31,25.48,18.4,7082,2046,577,195,3893.5,2075.83
32,22.03,16.1,7684,1549,514,153,3686.0,1773.545
33,23.84,17.8,6642,1945,1154,159,4151.0,2022.295
34,29.45,22.5,4268,3675,1678,279,4324.5,2570.865
35,28.3,21.9,4249,3662,1758,231,3561.0,2541.015
36,27.7,21.3,4787,3412,1467,234,3868.0,2453.42
37,28.18,21.9,4981,3139,1604,176,3926.5,2614.265
38,28.12,21.2,5638,2760,1356,146,3912.5,2543.0
39,25.16,19.7,6179,2500,1110,111,3531.0,2363.47
40,27.72,21.8,5337,3151,1284,128,3895.5,2656.12
41,27.37,21.4,6680,2110,974,136,3849.5,2584.075
42,26.62,20.5,7550,1613,629,108,3897.0,2495.31
43,26.33,20.0,7124,2001,662,113,3903.5,2405.38
44,27.03,21.2,6522,2366,820,192,4018.0,2483.77
45,26.31,20.8,6518,2226,958,198,3875.0,2432.485
46,26.61,20.5,6746,1935,985,234,3894.0,2344.41
47,28.03,21.7,6723,2081,898,198,3864.0,2568.255
48,29.82,21.9,6235,2516,871,278,3842.0,2496.085
49,30.32,23.2,6060,2529,991,320,4042.5,2645.565
50,30.1,22.8,5747,2778,1094,281,4263.5,2628.065
51,31.06,23.4,5398,3142,1045,315,4015.5,2667.595
52,29.94,22.3,5742,2825,1032,301,3879.0,2525.28
53,26.97,20.2,6320,2429,934,217,4278.0,2312.525
54,22.69,16.7,7528,1609,657,106,3323.0,1932.34
55,20.51,15.2,7626,1506,595,173,3836.0,1605.67
