Generation,Zeit,Spieldauer,Stapel,Flach,Diagonal,Unentschieden,Hoechste Fitness,Durchschnittliche Fitness
122,48.16,17.9,2717,5424,1751,8,1733.5,221.08
123,46.16,17.3,2827,5522,1532,19,1523.5,93.57
124,45.16,17.0,2797,5703,1388,12,1538.0,68.055
125,45.56,17.2,2217,6284,1393,6,1960.0,384.52
126,47.55,17.9,3089,5198,1603,10,2414.5,51.3
127,46.0,16.9,2755,6004,1137,4,1514.0,55.135
128,39.01,15.1,1854,7329,715,2,1728.5,283.655
129,40.34,14.8,1959,7142,799,0,1206.5,187.035
130,40.32,15.3,1758,7371,767,4,1578.5,340.295
131,40.36,15.7,1883,7398,615,4,1651.5,319.17
132,43.64,16.8,1795,7323,781,1,2420.0,550.8
133,43.02,16.8,1656,7491,753,0,1968.0,605.665
134,43.74,17.2,1794,7399,701,6,2021.0,574.335
135,44.13,16.9,1657,7567,674,2,1714.0,624.11
136,42.98,16.8,1432,7798,668,2,1743.5,718.39
137,41.53,16.3,1681,7539,673,7,1595.0,527.715
138,43.69,16.8,1576,7516,799,9,2841.5,645.22
139,44.92,17.2,1773,6615,1508,4,2913.5,597.79
140,44.71,17.2,1701,6335,1863,1,2799.5,643.64
141,49.84,18.1,2457,5240,2199,4,2394.0,354.02
142,47.36,17.9,2089,5858,1949,4,2132.5,528.8
143,47.31,18.3,2449,5428,2019,4,1877.0,397.645
144,47.48,18.1,2129,6040,1726,5,2584.5,552.115
145,47.48,18.1,1992,6628,1273,7,2685.0,622.53
146,48.43,18.1,1962,6685,1244,9,2640.0,654.385
147,49.72,18.6,1905,6961,1024,10,3007.5,747.545
148,48.81,18.8,1809,7117,961,13,3124.5,808.825
149,45.32,18.7,2171,6299,1427,3,2119.0,654.03
150,46.44,18.9,2145,6383,1368,4,2077.0,668.71
151,45.83,18.2,2027,6847,1008,18,2123.5,619.755
152,45.04,18.8,1999,7022,855,24,2028.0,686.63
153,45.18,18.2,1459,7594,846,1,2123.0,935.975
154,45.47,18.6,1769,6795,1327,9,2102.5,804.905
155,47.9,18.6,2069,6486,1332,13,2286.0,655.795
156,48.84,18.8,1808,6600,1476,16,2663.5,807.72
157,47.16,18.9,1520,6788,1574,18,3230.0,986.815
158,51.26,19.5,1962,5297,2624,17,2462.0,846.525
159,46.26,18.8,1420,5536,2937,7,3409.0,1043.845
160,45.01,18.9,1753,5084,3058,5,3618.0,900.395
161,43.59,18.2,1774,4835,3262,29,2661.0,758.545
162,42.93,17.8,1798,4943,3151,8,2657.5,729.095
163,42.37,17.6,2178,5290,2419,13,2664.0,492.58
164,38.99,16.6,1930,6540,1419,11,2473.5,460.25
165,40.54,17.0,2405,6042,1449,4,2270.0,307.41
166,41.26,17.0,2297,6522,1075,6,2536.5,351.06
167,39.97,16.4,2145,6596,1158,1,1877.0,354.67
168,40.57,16.5,1683,6731,1482,4,1767.5,579.025
169,39.81,16.6,1795,6715,1387,3,1664.0,542.995
170,41.17,17.4,2268,6291,1333,8,1683.0,383.47
171,41.61,17.2,2349,6442,1105,4,1839.0,334.975
172,42.29,17.4,2078,6641,1177,4,1932.5,491.985
173,41.72,16.9,2258,6529,1105,8,2175.5,329.575
174,43.19,17.9,2466,6232,1197,5,2523.5,373.46
175,45.03,18.4,2731,5739,1428,2,2368.5,292.59
176,32.26,18.5,2942,5612,1343,3,2375.5,200.77
177,37.29,17.7,3182,5461,1248,9,1696.0,-20.805
178,43.15,18.6,3016,5342,1529,13,1727.5,172.505
179,39.56,17.8,2915,5521,1460,4,2015.5,143.315
180,41.21,18.4,2517,5945,1428,10,1872.0,400.02
